category,noun
Fruits,cranberry
Fruits,currant
Fruits,dragonfruit
Fruits,fig
Fruits,gooseberry
Fruits,grain
Fruits,grapes
Fruits,guava
Fruits,jackfruit
Fruits,kiwi
Fruits,lemon
Fruits,lime
Fruits,lychee
Fruits,matcha
Fruits,mulberry
Fruits,mulberry
Fruits,nectarine
Fruits,olive
Fruits,papaya
Fruits,passionfruit
Fruits,plum
Fruits,pomegranate
Fruits,potato
Fruits,radish
Fruits,raspberry
Fruits,rice
Fruits,salad
Fruits,salmon
Fruits,samosa
Fruits,sandwich
Fruits,soursop
Fruits,strawberry
Fruits,sugarcane
Fruits,tamarind
Fruits,tomato
Fruits,ugli fruit
Fruits,watermelon
Fruits,wheat
Geological Features & Minerals,andesite
Geological Features & Minerals,anorthosite
Geological Features & Minerals,anthracite
Geological Features & Minerals,bauxite
Geological Features & Minerals,boulder
Geological Features & Minerals,butte
Geological Features & Minerals,calcite
Geological Features & Minerals,chalcedony
Geological Features & Minerals,chert
Geological Features & Minerals,conglomerate
Geological Features & Minerals,crystal
Geological Features & Minerals,delta
Geological Features & Minerals,diorite
Geological Features & Minerals,dolomite
Geological Features & Minerals,fluorite
Geological Features & Minerals,fossil
Geological Features & Minerals,garnet
Geological Features & Minerals,geyser
Geological Features & Minerals,gneiss
Geological Features & Minerals,grand canyon
Geological Features & Minerals,granite
Geological Features & Minerals,greywacke
Geological Features & Minerals,gypsum
Geological Features & Minerals,idaho
Geological Features & Minerals,indiana
Geological Features & Minerals,komatiite
Geological Features & Minerals,kyanite
Geological Features & Minerals,lapis lazuli
Geological Features & Minerals,laterite
Geological Features & Minerals,limestone
Geological Features & Minerals,magnetite
Geological Features & Minerals,malachite
Geological Features & Minerals,moldavite
Geological Features & Minerals,moonstone
Geological Features & Minerals,mudstone
Geological Features & Minerals,obsidian
Geological Features & Minerals,oil
Geological Features & Minerals,onyx
Geological Features & Minerals,ozone
Geological Features & Minerals,plateau
Geological Features & Minerals,pumice
Geological Features & Minerals,pyrite
Geological Features & Minerals,reservoir
Geological Features & Minerals,rhyolite
Geological Features & Minerals,salt flat
Geological Features & Minerals,scoria
Geological Features & Minerals,serpentine
Geological Features & Minerals,siltstone
Geological Features & Minerals,smoky quartz
Geological Features & Minerals,steppe
Geological Features & Minerals,summit
Geological Features & Minerals,syenite
Geological Features & Minerals,taiga
Geological Features & Minerals,tectonite
Geological Features & Minerals,tennessee
Geological Features & Minerals,texas
Geological Features & Minerals,topaz
Geological Features & Minerals,travertine
Geological Features & Minerals,tuff
Geological Features & Minerals,volcano
Handheld Objects & Tools,applied materials
Handheld Objects & Tools,autodesk
Handheld Objects & Tools,backpack
Handheld Objects & Tools,bag
Handheld Objects & Tools,basket
Handheld Objects & Tools,bathtub
Handheld Objects & Tools,bench press
Handheld Objects & Tools,board
Handheld Objects & Tools,bookshelf
Handheld Objects & Tools,bottlecap
Handheld Objects & Tools,bucket
Handheld Objects & Tools,button
Handheld Objects & Tools,cable tricep pushdowns
Handheld Objects & Tools,calculator
Handheld Objects & Tools,carabiner
Handheld Objects & Tools,ceiling fan
Handheld Objects & Tools,chain
Handheld Objects & Tools,chest press
Handheld Objects & Tools,coin purse
Handheld Objects & Tools,compass
Handheld Objects & Tools,cord
Handheld Objects & Tools,crunch
Handheld Objects & Tools,deep freezer
Handheld Objects & Tools,desk lamp
Handheld Objects & Tools,dip station exercises
Handheld Objects & Tools,doorknob
Handheld Objects & Tools,dumbbell thruster
Handheld Objects & Tools,dumbbell tricep kickbacks
Handheld Objects & Tools,fan
Handheld Objects & Tools,faucet
Handheld Objects & Tools,first aid kit
Handheld Objects & Tools,flashlight
Handheld Objects & Tools,foot
Handheld Objects & Tools,fork
Handheld Objects & Tools,fridge
Handheld Objects & Tools,generator
Handheld Objects & Tools,glove
Handheld Objects & Tools,gloves
Handheld Objects & Tools,hammer
Handheld Objects & Tools,hand saw
Handheld Objects & Tools,helmet
Handheld Objects & Tools,ice axe
Handheld Objects & Tools,ink
Handheld Objects & Tools,key
Handheld Objects & Tools,keyboard
Handheld Objects & Tools,knife
Handheld Objects & Tools,knitting
Handheld Objects & Tools,knob
Handheld Objects & Tools,ladder
Handheld Objects & Tools,lamp
Handheld Objects & Tools,lantern
Handheld Objects & Tools,laptop
Handheld Objects & Tools,laptop charger
Handheld Objects & Tools,lat pulldown
Handheld Objects & Tools,lat pulldown machine
Handheld Objects & Tools,leg curl
Handheld Objects & Tools,leg curl machine
Handheld Objects & Tools,leg extension machine
Handheld Objects & Tools,leg press
Handheld Objects & Tools,lens
Handheld Objects & Tools,light bulb
Handheld Objects & Tools,lock
Handheld Objects & Tools,magnet
Handheld Objects & Tools,medicine ball russian twists
Handheld Objects & Tools,medicine ball slams
Handheld Objects & Tools,microscope
Handheld Objects & Tools,mixer
Handheld Objects & Tools,mop
Handheld Objects & Tools,mousepad
Handheld Objects & Tools,mug
Handheld Objects & Tools,needle
Handheld Objects & Tools,notebook
Handheld Objects & Tools,origami
Handheld Objects & Tools,oven
Handheld Objects & Tools,pan
Handheld Objects & Tools,pants
Handheld Objects & Tools,paper clip
Handheld Objects & Tools,plank
Handheld Objects & Tools,plastic
Handheld Objects & Tools,pneumatic nail gun
Handheld Objects & Tools,potion bottle
Handheld Objects & Tools,pottery
Handheld Objects & Tools,pressure washer
Handheld Objects & Tools,printer
Handheld Objects & Tools,prop
Handheld Objects & Tools,pull-up bar exercises
Handheld Objects & Tools,resistance band chest press
Handheld Objects & Tools,resistance band squats
Handheld Objects & Tools,rocking chair
Handheld Objects & Tools,rope
Handheld Objects & Tools,rowing machine pulls
Handheld Objects & Tools,ruler
Handheld Objects & Tools,saw
Handheld Objects & Tools,scissors
Handheld Objects & Tools,scrapbooking
Handheld Objects & Tools,shelf
Handheld Objects & Tools,shoe
Handheld Objects & Tools,shoulder press machine
Handheld Objects & Tools,single-leg romanian deadlifts
Handheld Objects & Tools,sink
Handheld Objects & Tools,skill saw
Handheld Objects & Tools,sleeping bag
Handheld Objects & Tools,smartphone
Handheld Objects & Tools,smartwatch
Handheld Objects & Tools,smith machine bench press
Handheld Objects & Tools,smith machine squat
Handheld Objects & Tools,smith machine squats
Handheld Objects & Tools,snowshoe
Handheld Objects & Tools,soap
Handheld Objects & Tools,sock
Handheld Objects & Tools,socks
Handheld Objects & Tools,splunk
Handheld Objects & Tools,spoon
Handheld Objects & Tools,stove
Handheld Objects & Tools,suitcase
Handheld Objects & Tools,sunglasses
Handheld Objects & Tools,switch
Handheld Objects & Tools,tank
Handheld Objects & Tools,thread
Handheld Objects & Tools,toaster
Handheld Objects & Tools,tool
Handheld Objects & Tools,toolbox
Handheld Objects & Tools,toothbrush
Handheld Objects & Tools,toy
Handheld Objects & Tools,trekking pole
Handheld Objects & Tools,umbrella
Handheld Objects & Tools,vacuum
Handheld Objects & Tools,vacuum cleaner
Handheld Objects & Tools,valve
Handheld Objects & Tools,vase
Handheld Objects & Tools,visor
Handheld Objects & Tools,vr headset
Handheld Objects & Tools,wallet
Handheld Objects & Tools,washing machine
Handheld Objects & Tools,watch
Handheld Objects & Tools,water bottle
Handheld Objects & Tools,weighted vest push-ups
Handheld Objects & Tools,weighted vest squats
Handheld Objects & Tools,wet-grind
Handheld Objects & Tools,woodworking
Handheld Objects & Tools,wrench
Handheld Objects & Tools,xerox
Handheld Objects & Tools,zercher squat
Motorcycles,band curl
Motorcycles,bike
Motorcycles,cable bicep curls
Motorcycles,cable crossover
Motorcycles,cable lat pulldown
Motorcycles,cable rows
Motorcycles,cbr600rr
Motorcycles,daytona675
Motorcycles,dinghy
Motorcycles,dirk nowitzki
Motorcycles,dirk nowitzki
Motorcycles,dragonair
Motorcycles,hang glider
Motorcycles,hayabusa
Motorcycles,hoverboard
Motorcycles,meteor
Motorcycles,motorcycle
Motorcycles,ninja400
Motorcycles,ninja650
Motorcycles,nvidia
Motorcycles,panigalev2
Motorcycles,panigalev4
Motorcycles,r1
Motorcycles,resistance band rows
Motorcycles,robot
Motorcycles,romanian deadlift
Motorcycles,s1000rr
Motorcycles,scooter
Motorcycles,seated row machine
Motorcycles,shoes
Motorcycles,skateboard
Motorcycles,speedtriple
Motorcycles,sv650
Motorcycles,tesla
Motorcycles,thruster
Motorcycles,tram
Motorcycles,tramcar
Motorcycles,trolleybus
Motorcycles,wheel
Motorcycles,yacht
Natural Non-Geological Features,air
Natural Non-Geological Features,atoll
Natural Non-Geological Features,blizzard
Natural Non-Geological Features,climate
Natural Non-Geological Features,cloud
Natural Non-Geological Features,desert
Natural Non-Geological Features,dirt
Natural Non-Geological Features,drum
Natural Non-Geological Features,dune
Natural Non-Geological Features,fjord
Natural Non-Geological Features,fog
Natural Non-Geological Features,grassland
Natural Non-Geological Features,great barrier reef
Natural Non-Geological Features,heatwave
Natural Non-Geological Features,hot spring
Natural Non-Geological Features,hydrometeor
Natural Non-Geological Features,lagoon
Natural Non-Geological Features,lake
Natural Non-Geological Features,marsh
Natural Non-Geological Features,meadow
Natural Non-Geological Features,monsoon
Natural Non-Geological Features,niagara falls
Natural Non-Geological Features,ocean
Natural Non-Geological Features,prairie
Natural Non-Geological Features,rain
Natural Non-Geological Features,raincloud
Natural Non-Geological Features,river
Natural Non-Geological Features,riverbank
Natural Non-Geological Features,sahara
Natural Non-Geological Features,savanna
Natural Non-Geological Features,snow
Natural Non-Geological Features,snowfall
Natural Non-Geological Features,snowflake
Natural Non-Geological Features,snowstorm
Natural Non-Geological Features,strait
Natural Non-Geological Features,sun
Natural Non-Geological Features,swamp
Natural Non-Geological Features,thunder
Natural Non-Geological Features,thundercloud
Natural Non-Geological Features,tornado
Natural Non-Geological Features,trail
Natural Non-Geological Features,typhoon
Natural Non-Geological Features,valley
Natural Non-Geological Features,water
Natural Non-Geological Features,waterfall
Non-Motorized Transportation,air start unit
Non-Motorized Transportation,cycling
Non-Motorized Transportation,raft
Non-Motorized Transportation,rainfall
Non-Motorized Transportation,sailing
Non-Motorized Transportation,skateboarding
Non-Motorized Transportation,skiing
Non-Motorized Transportation,snowboarding
Non-Motorized Transportation,stationary bike sprints
Non-Tree Plants,azalea
Non-Tree Plants,bamboo
Non-Tree Plants,banana plant
Non-Tree Plants,blastoise
Non-Tree Plants,blue whale
Non-Tree Plants,brush
Non-Tree Plants,bush
Non-Tree Plants,cherry
Non-Tree Plants,chipmunk
Non-Tree Plants,cotton shirt
Non-Tree Plants,dandelion
Non-Tree Plants,diamond
Non-Tree Plants,flower
Non-Tree Plants,grass
Non-Tree Plants,hammock
Non-Tree Plants,leaf
Non-Tree Plants,lilac
Non-Tree Plants,lunge
Non-Tree Plants,magnolia
Non-Tree Plants,marigold
Non-Tree Plants,mountain biking
Non-Tree Plants,nettle
Non-Tree Plants,orchid
Non-Tree Plants,paddleboard
Non-Tree Plants,pansy
Non-Tree Plants,park
Non-Tree Plants,rose
Non-Tree Plants,rose bush
Non-Tree Plants,rug
Non-Tree Plants,sagebrush
Non-Tree Plants,sand
Non-Tree Plants,scarf
Non-Tree Plants,seated row
Non-Tree Plants,skirt
Non-Tree Plants,spinach
Non-Tree Plants,sunflower
Non-Tree Plants,thistle
Non-Tree Plants,tulip
Non-Tree Plants,winterproof
Non-Tree Plants,yard
Other Raw Foods,aerodactyl
Other Raw Foods,akamai technologies
Other Raw Foods,arcade machine
Other Raw Foods,artisan
Other Raw Foods,backlands
Other Raw Foods,battery
Other Raw Foods,beedrill
Other Raw Foods,billy cunningham
Other Raw Foods,blackberry
Other Raw Foods,blueberry bush
Other Raw Foods,bob cousy
Other Raw Foods,booking holdings
Other Raw Foods,bottle
Other Raw Foods,brookesia micra
Other Raw Foods,bulbasaur
Other Raw Foods,carnelian
Other Raw Foods,central netted dragon
Other Raw Foods,charizard
Other Raw Foods,chocolate
Other Raw Foods,crab
Other Raw Foods,crossover
Other Raw Foods,dave bing
Other Raw Foods,diavel
Other Raw Foods,dishwener
Other Raw Foods,firewood
Other Raw Foods,flag
Other Raw Foods,gold bar
Other Raw Foods,h2r
Other Raw Foods,hollow hold
Other Raw Foods,howlite
Other Raw Foods,ice cube
Other Raw Foods,iolite
Other Raw Foods,lobster tail
Other Raw Foods,match group
Other Raw Foods,metapod
Other Raw Foods,monster1200
Other Raw Foods,montres
Other Raw Foods,moon
Other Raw Foods,oatmeal
Other Raw Foods,omaha
Other Raw Foods,quality
Other Raw Foods,r6
Other Raw Foods,raincoat
Other Raw Foods,raticate
Other Raw Foods,rock agama
Other Raw Foods,s1000r
Other Raw Foods,salak
Other Raw Foods,samoyed
Other Raw Foods,sandbag cleans
Other Raw Foods,sapphire
Other Raw Foods,scyther
Other Raw Foods,series finale
Other Raw Foods,shell
Other Raw Foods,shirt
Other Raw Foods,shrub
Other Raw Foods,streettriple
Other Raw Foods,telescope
Other Raw Foods,tent
Other Raw Foods,texas instruments
Other Raw Foods,thorny devil
Other Raw Foods,tokay gecko
Other Raw Foods,toucan
Other Raw Foods,transponder
Other Raw Foods,tree monitor
Other Raw Foods,tropical-air
Other Raw Foods,tuna
Other Raw Foods,uber technologies
Other Raw Foods,vermont
Other Raw Foods,version
Other Raw Foods,zx6r
Prepared Foods & Meals,apple pie
Prepared Foods & Meals,bagel with cream
Prepared Foods & Meals,binge
Prepared Foods & Meals,burger
Prepared Foods & Meals,burger
Prepared Foods & Meals,caesar salad
Prepared Foods & Meals,cereal with milk
Prepared Foods & Meals,chicken curry
Prepared Foods & Meals,chocolate bar
Prepared Foods & Meals,cottage cheese
Prepared Foods & Meals,cracker
Prepared Foods & Meals,croissant
Prepared Foods & Meals,cup of coffee
Prepared Foods & Meals,cupcake
Prepared Foods & Meals,donut
Prepared Foods & Meals,dumpling
Prepared Foods & Meals,fish and chips
Prepared Foods & Meals,gold ring
Prepared Foods & Meals,green salad
Prepared Foods & Meals,grilled salmon
Prepared Foods & Meals,horchata
Prepared Foods & Meals,hot dog
Prepared Foods & Meals,hummus
Prepared Foods & Meals,ice cream
Prepared Foods & Meals,ice pop
Prepared Foods & Meals,kombucha
Prepared Foods & Meals,lasagna
Prepared Foods & Meals,lollipop
Prepared Foods & Meals,mac & cheese
Prepared Foods & Meals,magic wand
Prepared Foods & Meals,meal
Prepared Foods & Meals,mojito
Prepared Foods & Meals,netflix
Prepared Foods & Meals,paella
Prepared Foods & Meals,pancake
Prepared Foods & Meals,pancakes
Prepared Foods & Meals,pasta
Prepared Foods & Meals,pizza
Prepared Foods & Meals,pizza slice
Prepared Foods & Meals,plate
Prepared Foods & Meals,popcorn
Prepared Foods & Meals,protein shake
Prepared Foods & Meals,ramen bowl
Prepared Foods & Meals,rating
Prepared Foods & Meals,restaurant
Prepared Foods & Meals,roast beef
Prepared Foods & Meals,roast turkey
Prepared Foods & Meals,roast vegetables
Prepared Foods & Meals,rum punch
Prepared Foods & Meals,sake
Prepared Foods & Meals,set
Prepared Foods & Meals,shrimp cocktail
Prepared Foods & Meals,smoothie
Prepared Foods & Meals,soju
Prepared Foods & Meals,soup
Prepared Foods & Meals,steak
Prepared Foods & Meals,sushi
Prepared Foods & Meals,taco
Prepared Foods & Meals,tequila
Prepared Foods & Meals,vegetable soup
Prepared Foods & Meals,vitamin
Prepared Foods & Meals,watermelon slice
Prepared Foods & Meals,weather-map
Prepared Foods & Meals,yogurt
Reptiles & Amphibians,alligator
Reptiles & Amphibians,anaconda
Reptiles & Amphibians,articuno
Reptiles & Amphibians,bearded dragon
Reptiles & Amphibians,blue-tongued skink
Reptiles & Amphibians,common basilisk
Reptiles & Amphibians,crested gecko
Reptiles & Amphibians,day gecko
Reptiles & Amphibians,five-lined skink
Reptiles & Amphibians,frog
Reptiles & Amphibians,green basilisk
Reptiles & Amphibians,green iguana
Reptiles & Amphibians,lace monitor
Reptiles & Amphibians,marine iguana
Reptiles & Amphibians,mewtwo
Reptiles & Amphibians,mourning gecko
Reptiles & Amphibians,savannah monitor
Reptiles & Amphibians,snake
Reptiles & Amphibians,texas spiny lizard
Reptiles & Amphibians,veiled chameleon
Reptiles & Amphibians,wartortle
